epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.16021,1.04552,2.91349,1.22329,0.03397,0.33333,0.3232,0.29675,0.54897,2.95298,0.79981,0.00035,0.00035,0.00035
2,9.43661,0.63461,1.53355,0.94864,0.99039,0.25757,0.31755,0.27086,0.86269,2.0752,0.92835,0.000708973,0.000708973,0.000708973
3,13.7964,0.57101,0.87251,0.93338,0.83587,0.3924,0.7176,0.48733,0.70222,1.03809,0.90119,0.00106436,0.00106436,0.00106436
4,18.0853,0.54596,0.73406,0.91679,0.80858,0.57914,0.7673,0.53497,0.60909,0.8739,0.8237,0.00123144,0.00123144,0.00123144
5,22.7195,0.51868,0.67814,0.90436,0.82492,0.64583,0.7564,0.52107,0.63674,0.94195,0.87777,0.00122525,0.00122525,0.00122525
6,26.8897,0.50418,0.62007,0.89322,0.75664,0.79766,0.83976,0.57448,0.53445,0.6197,0.78327,0.00121906,0.00121906,0.00121906
7,31.1539,0.49959,0.60751,0.89337,0.78307,0.86074,0.84368,0.5569,0.53948,0.59544,0.7797,0.00121287,0.00121287,0.00121287
8,35.4843,0.4758,0.57256,0.8875,0.8128,0.82236,0.84425,0.57624,0.56993,0.59002,0.80343,0.00120669,0.00120669,0.00120669
9,39.897,0.49176,0.5932,0.89771,0.64986,0.78907,0.78644,0.54123,0.60819,0.66479,0.8071,0.0012005,0.0012005,0.0012005
10,44.3163,0.48773,0.57174,0.88281,0.77554,0.69761,0.76806,0.55403,0.57227,0.75444,0.80262,0.00119431,0.00119431,0.00119431
11,48.752,0.48801,0.56504,0.88923,0.73202,0.83681,0.80486,0.57268,0.5206,0.57119,0.78563,0.00118812,0.00118812,0.00118812
12,53.0836,0.47784,0.53495,0.88323,0.69386,0.8576,0.83111,0.58216,0.51909,0.5108,0.78245,0.00118194,0.00118194,0.00118194
13,57.554,0.45242,0.51736,0.87994,0.75814,0.84709,0.84413,0.60014,0.50078,0.48493,0.77102,0.00117575,0.00117575,0.00117575
14,61.9029,0.45371,0.50817,0.87944,0.81416,0.77415,0.79841,0.56437,0.48096,0.50762,0.77271,0.00116956,0.00116956,0.00116956
15,66.2269,0.43685,0.49186,0.87632,0.81295,0.84116,0.84697,0.6011,0.49318,0.47688,0.77675,0.00116337,0.00116337,0.00116337
16,70.5155,0.44453,0.48754,0.87486,0.78448,0.79742,0.80991,0.58323,0.47035,0.4555,0.76294,0.00115719,0.00115719,0.00115719
17,74.7645,0.44548,0.48401,0.87162,0.77977,0.90621,0.87273,0.61539,0.47986,0.44,0.75313,0.001151,0.001151,0.001151
18,79.3589,0.43239,0.46174,0.8758,0.83822,0.86684,0.89711,0.65283,0.47049,0.42422,0.75093,0.00114481,0.00114481,0.00114481
19,83.8417,0.42831,0.452,0.86878,0.74703,0.86714,0.86307,0.60211,0.46603,0.45129,0.75861,0.00113863,0.00113863,0.00113863
20,88.0165,0.43054,0.46937,0.8737,0.72563,0.84385,0.82131,0.58072,0.46178,0.46568,0.75491,0.00113244,0.00113244,0.00113244
21,92.307,0.42086,0.45225,0.86281,0.78323,0.83267,0.86914,0.61634,0.46571,0.44575,0.75934,0.00112625,0.00112625,0.00112625
22,96.7948,0.42216,0.43488,0.867,0.79495,0.87594,0.90304,0.63898,0.4822,0.4434,0.757,0.00112006,0.00112006,0.00112006
23,101.133,0.46029,0.46037,0.88012,0.83871,0.8264,0.87893,0.6232,0.46237,0.42559,0.75647,0.00111388,0.00111388,0.00111388
24,105.518,0.41696,0.42216,0.86547,0.82375,0.85382,0.89929,0.62481,0.45172,0.41196,0.74966,0.00110769,0.00110769,0.00110769
25,109.774,0.42904,0.42004,0.86843,0.8067,0.89115,0.88723,0.62954,0.45488,0.41776,0.74905,0.0011015,0.0011015,0.0011015
26,114.086,0.42341,0.42555,0.86484,0.84405,0.84814,0.87941,0.60965,0.47478,0.41276,0.75719,0.00109531,0.00109531,0.00109531
27,118.357,0.41767,0.43921,0.87062,0.78086,0.88017,0.85353,0.61297,0.4757,0.42886,0.76351,0.00108913,0.00108913,0.00108913
28,122.585,0.41902,0.4173,0.87217,0.83475,0.88744,0.91304,0.63419,0.46116,0.41345,0.75093,0.00108294,0.00108294,0.00108294
29,126.831,0.42119,0.40413,0.86853,0.8565,0.80568,0.89359,0.62273,0.43262,0.39085,0.75076,0.00107675,0.00107675,0.00107675
30,131.147,0.41726,0.40426,0.85829,0.84236,0.88633,0.92051,0.63668,0.47779,0.41298,0.76326,0.00107056,0.00107056,0.00107056
31,135.439,0.41588,0.40502,0.86177,0.84217,0.88909,0.90986,0.63295,0.46638,0.40657,0.7578,0.00106437,0.00106437,0.00106437
32,139.765,0.41025,0.39395,0.86311,0.79388,0.95219,0.89994,0.63782,0.44842,0.39221,0.74278,0.00105819,0.00105819,0.00105819
33,144.037,0.42613,0.40302,0.87082,0.77107,0.87036,0.85234,0.62992,0.46433,0.39565,0.74922,0.001052,0.001052,0.001052
34,148.457,0.40082,0.38197,0.86109,0.8239,0.86378,0.88612,0.63515,0.46782,0.40448,0.75886,0.00104581,0.00104581,0.00104581
35,152.754,0.40627,0.38299,0.86065,0.81704,0.92301,0.91209,0.66285,0.44622,0.40912,0.74861,0.00103962,0.00103962,0.00103962
36,157.034,0.41023,0.38103,0.86573,0.80292,0.90913,0.92799,0.63759,0.44485,0.39617,0.746,0.00103344,0.00103344,0.00103344
37,161.232,0.40476,0.38289,0.86047,0.86482,0.93451,0.93179,0.64147,0.45933,0.41983,0.75261,0.00102725,0.00102725,0.00102725
38,165.743,0.41038,0.37663,0.85711,0.86184,0.89308,0.91625,0.62866,0.46896,0.43372,0.7556,0.00102106,0.00102106,0.00102106
39,170.083,0.39745,0.3749,0.86232,0.83986,0.8393,0.86916,0.62677,0.48111,0.4271,0.79251,0.00101488,0.00101488,0.00101488
40,174.404,0.41015,0.3832,0.86378,0.85819,0.89166,0.91314,0.65521,0.44276,0.3692,0.75741,0.00100869,0.00100869,0.00100869
41,178.567,0.40947,0.37723,0.86335,0.88414,0.85559,0.92091,0.65196,0.4395,0.37592,0.74842,0.0010025,0.0010025,0.0010025
42,182.746,0.40894,0.38008,0.86459,0.81362,0.85,0.89174,0.64022,0.47171,0.39453,0.75981,0.000996313,0.000996313,0.000996313
43,187.11,0.40435,0.37103,0.86676,0.83882,0.88408,0.89688,0.64516,0.4449,0.37907,0.75267,0.000990125,0.000990125,0.000990125
44,191.431,0.39604,0.37139,0.86638,0.85848,0.87528,0.91379,0.64244,0.46374,0.38374,0.76427,0.000983938,0.000983938,0.000983938
45,195.723,0.39832,0.36736,0.86162,0.84671,0.91917,0.91758,0.67447,0.44616,0.36476,0.75054,0.00097775,0.00097775,0.00097775
46,200.134,0.39036,0.36093,0.86225,0.78337,0.83884,0.88176,0.64339,0.45984,0.39101,0.75812,0.000971562,0.000971562,0.000971562
47,204.454,0.41334,0.3727,0.86325,0.83152,0.92764,0.92611,0.64785,0.45514,0.37506,0.75585,0.000965375,0.000965375,0.000965375
48,208.832,0.39611,0.36281,0.86337,0.88567,0.90096,0.92056,0.65536,0.44808,0.35895,0.74992,0.000959187,0.000959187,0.000959187
49,212.946,0.4086,0.3695,0.85904,0.76793,0.91887,0.89659,0.6603,0.4289,0.36927,0.74357,0.000953,0.000953,0.000953
50,217.099,0.40374,0.36489,0.86653,0.8529,0.8762,0.91605,0.65066,0.43398,0.37732,0.74736,0.000946812,0.000946812,0.000946812
51,221.285,0.40155,0.36966,0.86098,0.78537,0.95518,0.8906,0.62458,0.44833,0.3834,0.75352,0.000940625,0.000940625,0.000940625
52,225.643,0.41365,0.36891,0.8654,0.84196,0.89626,0.92205,0.64803,0.4531,0.35857,0.75188,0.000934438,0.000934438,0.000934438
53,229.848,0.40176,0.36063,0.85855,0.82933,0.9391,0.91379,0.64104,0.44914,0.3602,0.75511,0.00092825,0.00092825,0.00092825
